code,region,N/A,marriedCoupleOp,marriedCoupleSame,sepMarriedCouple,cohabCoupleOp,cohabCoupleSame,single,marriedOwn,sepOwn,divorcedOwn,widowedOwn
W92000004,,547240,1076796,7818,1948,338026,17570,648604,22998,43597,182796,164156
E12000001,,467671,902146,5938,1465,290995,13526,564024,17474,45733,149907,135949
E12000002,,1389541,2456830,18046,4731,807709,40414,1639520,67678,113653,399961,352477
E12000003,,1018391,1884238,12734,3360,633040,28409,1114607,48834,83703,292453,256971
E12000004,,879746,1755891,11235,3348,564931,24021,942110,44279,70238,254547,227673
E12000005,,1146512,2065933,11517,4409,604687,27621,1252753,66731,90738,301410,282200
E12000006,,1184019,2332740,14230,5448,702341,28038,1198289,56403,90238,337676,289237
E12000007,,1693611,2566091,32125,10461,797010,62493,2498920,199540,140609,420733,278239
E12000008,,1710000,3442625,28154,7953,983711,46086,1750591,86880,127842,492161,412550
E12000009,,959355,2121408,16414,4207,653187,29817,1072488,41917,78574,327469,277763
